Employee # 0,Last Name 1,First Name 2,Birthday 3,Address 4,Phone Number 5,SSS # 6,Philhealth # 7,TIN # 8,Pag-ibig # 9,Status 10,Position 11,Immediate Supervisor 12,Basic Salary 13,Rice Subsidy 14,Phone Allowance 15,Clothing Allowance 16,Gross Semi-monthly Rate (BS/2) 17,Hourly Rate 18,SSS Contribution 19,Staffed Time
10011,Salcedo,Anthony,09/14/1993,93/54 Shanahan Alley Apt. 183 Santo Tomas 1572 Masbate,070-766-300,26-9647608-3,126445315651,210-805-911-000,218002473454,Regular,Payroll Manager,Roderick Alvaro,50825,1500,1000,1000,25413,302.53,1125,
10012,Lopez,Josie ,01/14/1987,49 Springs Apt. 266 Poblacion Taguig 3200 Occidental Mindoro,478-355-427,44-8563448-3,431709011012,218-489-737-000,113071293354,Regular,Payroll Team Leader,Anthony Salcedo,38475,1500,800,800,19238,229.02,1125,
10013,Farala,Martha,01/11/1942,42/25 Sawayn Stream Ubay 1208 Zamboanga del Norte,329-034-366,45-5656375-0,233693897247,210-835-851-000,631130283546,Regular,Payroll Rank and File,Anthony Salcedo,24000,1500,500,500,12000,142.86,1080,
10014,Martinez,Leila,07/11/1970,37/46 Kulas Roads Maragondon 0962 Quirino,877-110-749,27-2090996-4,515741057496,275-792-513-000,101205445886,Regular,Payroll Rank and File,Anthony Salcedo,24000,1500,500,500,12000,142.86,1080,
10015,Romualdez,Fredrick ,03/10/1985,22A/52 Lubowitz Meadows Pililla 4895 Zambales,023-079-009,26-8768374-1,308366860059,598-065-761-000,223057707853,Regular,Account Manager,Antonio Lim,53500,1500,1000,1000,26750,318.45,1125,
10016,Mata,Christian,10/21/1987,90 O'Keefe Spur Apt. 379 Catigbian 2772 Sulu,783-776-744,49-2959312-6,824187961962,103-100-522-000,631052853464,Regular,Account Team Leader,Fredrick Romualdez,42975,1500,800,800,21488,255.80,1125,
10017,De Leon,Selena ,02/20/1975,89A Armstrong Trace Compostela 7874 Maguindanao,975-432-139,27-2090208-8,587272469938,482-259-498-000,719007608464,Regular,Account Team Leader,Fredrick Romualdez,41850,1500,800,800,20925,249.11,1125,
10018,San Jose,Allison ,06/24/1986,08 Grant Drive Suite 406 Poblacion Iloilo City 9186 La Union,179-075-129,45-3251383-0,745148459521,121-203-336-000,114901859343,Regular,Account Rank and File,Christian Mata,22500,1500,500,500,11250,133.93,1012.5,
10019,Rosario,Cydney ,10/06/1996,93A/21 Berge Points Tapaz 2180 Quezon,868-819-912,49-1629900-2,579253435499,122-244-511-000,265104358643,Regular,Account Rank and File,Christian Mata,22500,1500,500,500,11250,133.93,1012.5,
10020,Bautista,Mark ,02/12/1991,65 Murphy Center Suite 094 Poblacion Palayan 5636 Quirino,683-725-348,49-1647342-5,399665157135,273-970-941-000,260054585575,Regular,Account Rank and File,Christian Mata,23250,1500,500,500,11625,138.39,1035,
10021,Lazaro,Darlene ,11/25/1985,47A/94 Larkin Plaza Apt. 179 Poblacion Caloocan 2751 Quirino,740-721-558,45-5617168-2,606386917510,354-650-951-000,104907708845,Probationary,Account Rank and File,Christian Mata,23250,1500,500,500,11625,138.39,1035,
10022,Delos Santos,Kolby ,02/26/1980,06A Gulgowski Extensions Bongabon 6085 Zamboanga del Sur,739-443-033,52-0109570-6,357451271274,187-500-345-000,113017988667,Probationary,Account Rank and File,Christian Mata,24000,1500,500,500,12000,142.86,1080,
10023,Santos,Vella ,12/31/1983,99A Padberg Spring Poblacion Mabalacat 3959 Lanao del Sur,955-879-269,52-9883524-3,548670482885,101-558-994-000,360028104576,Probationary,Account Rank and File,Christian Mata,22500,1500,500,500,11250,133.93,1012.5,
10024,Del Rosario,Tomas,12/18/1978,80A/48 Ledner Ridges Poblacion Kabankalan 8870 Marinduque,882-550-989,45-5866331-6,953901539995,560-735-732-000,913108649964,Probationary,Account Rank and File,Christian Mata,22500,1500,500,500,11250,133.93,1012.5,
10025,Tolentino,Jacklyn ,05/19/1984,96/48 Watsica Flats Suite 734 Poblacion Malolos 1844 Ifugao,675-757-366,47-1692793-0,753800654114,841-177-857-000,210546661243,Probationary,Account Rank and File,Selena De Leon,24000,1500,500,500,12000,142.86,1080,
